Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
2600 ; 1000 ; 576 ; 308 ; 4946 ; 24000
2600 ; 1000 ; 612 ; 307 ; 5008 ; 24000
2600 ; 1000 ; 605 ; 280 ; 4906 ; 24000
2600 ; 1000 ; 595 ; 311 ; 4953 ; 24000
2600 ; 1000 ; 590 ; 301 ; 4866 ; 24000
2600 ; 1000 ; 643 ; 304 ; 5077 ; 24000
2600 ; 1000 ; 602 ; 303 ; 4896 ; 24000
2600 ; 1000 ; 603 ; 313 ; 4933 ; 24000
2600 ; 1000 ; 615 ; 291 ; 5004 ; 24000
2600 ; 1000 ; 588 ; 297 ; 4873 ; 24000
2600 ; 1000 ; 603 ; 297 ; 4895 ; 24000
2600 ; 1000 ; 571 ; 323 ; 4817 ; 24000
2600 ; 1000 ; 595 ; 299 ; 4868 ; 24000
2600 ; 1000 ; 634 ; 315 ; 5032 ; 24000
2600 ; 1000 ; 630 ; 306 ; 4991 ; 24000
2600 ; 1000 ; 591 ; 301 ; 4942 ; 24000
2600 ; 1000 ; 615 ; 327 ; 4928 ; 24000
2600 ; 1000 ; 615 ; 308 ; 5025 ; 24000
1000 ; 1000 ; 529 ; 307 ; 3807 ; 24000
2600 ; 1000 ; 600 ; 317 ; 4966 ; 24000
1000 ; 1000 ; 518 ; 300 ; 3809 ; 24000
1000 ; 1000 ; 534 ; 331 ; 3686 ; 24000
1000 ; 1000 ; 521 ; 307 ; 3720 ; 24000
1000 ; 1000 ; 559 ; 302 ; 3820 ; 24000
1000 ; 1000 ; 532 ; 300 ; 3728 ; 24000
1000 ; 1000 ; 524 ; 307 ; 3624 ; 24000
1000 ; 1000 ; 526 ; 297 ; 3701 ; 24000
1000 ; 1000 ; 524 ; 304 ; 3547 ; 24000
1000 ; 1000 ; 532 ; 321 ; 3740 ; 24000
1000 ; 1000 ; 525 ; 320 ; 3613 ; 24000
1000 ; 1000 ; 520 ; 327 ; 3740 ; 24000
1000 ; 1000 ; 518 ; 301 ; 3606 ; 24000
1000 ; 1000 ; 525 ; 289 ; 3781 ; 24000
