Nb_of_games_learned ; Nb_of_games_test ; Agent_game_won ; Random_game_won ; Recognized_states ; Total_states
4000 ; 1000 ; 741 ; 293 ; 9842 ; 24000
100000 ; 1000 ; 842 ; 308 ; 13362 ; 24000
4000 ; 1000 ; 768 ; 316 ; 9798 ; 24000
100000 ; 1000 ; 836 ; 288 ; 13323 ; 24000
4000 ; 1000 ; 748 ; 322 ; 9790 ; 24000
100000 ; 1000 ; 829 ; 297 ; 13296 ; 24000
4000 ; 1000 ; 753 ; 310 ; 9759 ; 24000
4000 ; 1000 ; 753 ; 315 ; 9668 ; 24000
170000 ; 1000 ; 846 ; 295 ; 13901 ; 24000
4000 ; 1000 ; 762 ; 288 ; 9800 ; 24000
170000 ; 1000 ; 835 ; 300 ; 13792 ; 24000
4000 ; 1000 ; 765 ; 302 ; 9917 ; 24000
170000 ; 1000 ; 844 ; 296 ; 14022 ; 24000
170000 ; 1000 ; 828 ; 297 ; 13746 ; 24000
170000 ; 1000 ; 850 ; 288 ; 13739 ; 24000
170000 ; 1000 ; 844 ; 304 ; 13839 ; 24000
170000 ; 1000 ; 851 ; 302 ; 13788 ; 24000
170000 ; 1000 ; 858 ; 283 ; 13917 ; 24000
170000 ; 1000 ; 845 ; 313 ; 13889 ; 24000
170000 ; 1000 ; 846 ; 259 ; 13866 ; 24000
14000 ; 1000 ; 808 ; 302 ; 11522 ; 24000
14000 ; 1000 ; 800 ; 310 ; 11441 ; 24000
14000 ; 1000 ; 827 ; 321 ; 11508 ; 24000
14000 ; 1000 ; 817 ; 296 ; 11416 ; 24000
14000 ; 1000 ; 837 ; 297 ; 11403 ; 24000
14000 ; 1000 ; 823 ; 273 ; 11485 ; 24000
14000 ; 1000 ; 823 ; 281 ; 11400 ; 24000
14000 ; 1000 ; 824 ; 309 ; 11530 ; 24000
14000 ; 1000 ; 815 ; 305 ; 11526 ; 24000
14000 ; 1000 ; 810 ; 295 ; 11430 ; 24000
126000 ; 1000 ; 839 ; 304 ; 13489 ; 24000
126000 ; 1000 ; 831 ; 276 ; 13506 ; 24000
126000 ; 1000 ; 826 ; 316 ; 13500 ; 24000
126000 ; 1000 ; 830 ; 310 ; 13500 ; 24000
126000 ; 1000 ; 849 ; 300 ; 13590 ; 24000
126000 ; 1000 ; 839 ; 289 ; 13506 ; 24000
